hzbnr,geosphere_id
207134,189
207241,4030
207274,6111
207290,2601
207308,158
207324,4305
207357,193
207373,6111
207407,6111
207613,5315
207654,7013
207688,4
207696,7012
207704,7110
207712,7110
207720,7301
207738,7110
207746,7110
207787,5412
207795,5421
207803,5421
207811,189
207829,5413
207837,5413
207845,155
207852,5625
207860,189
207878,3805
207894,5625
207910,5604
207936,89
207944,1920
207951,3520
207969,1920
207977,1920
207985,2114
207993,215
208009,5735
208017,5735
208041,2207
208058,4026
208066,5735
208090,12
208108,5820
208116,164
208124,7653
208140,7531
208157,5990
208199,5990
208272,7610
208280,112
208298,112
208439,5990
208454,31
208462,148
208520,2115
208579,148
208611,3
208629,726
208652,152
208678,222
208686,10412
208694,10412
208702,10412
208710,169
208736,169
208769,222
208777,93
208785,169
208793,7610
208819,10607
208843,7604
208850,7110
208868,7301
208884,112
208892,500
208918,7604
208926,7604
208934,169
208942,169
208967,112
208975,112
208983,7604
209007,6111
209031,5820
209130,7013
209155,905
209171,905
209189,158
209197,155
209247,192
209262,6111
209288,112
209338,2117
209346,5820
209387,3520
209403,5315
209445,5625
209452,2430
209460,4030
209478,5701
209486,93
209502,3702
209510,905
209536,7301
209544,10607
209551,7110
209569,5735
209585,7531
209593,7531
209601,726
209627,4081
209635,2207
209718,5882
209734,726
209759,726
209783,12
209817,5315
209882,5412
210302,7305
214031,197
214254,7110
214296,500
214304,46
214312,155
214338,500
214353,10607
214387,112
214395,10607
214429,1802
214437,3
214445,7110
214460,726
214502,197
215517,197
215541,5609
215558,7531
215574,5625
215608,112
